City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Zalalovo,HU,79.57,clear sky,46.848,16.5875,Sabaria Vadása Panzió
372,Lengshuijiang,CN,76.19,overcast clouds,27.6881,111.4294,Sheraton
373,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
374,Argalasti,GR,86.58,clear sky,39.2333,23.2167,Kalama Hotel apartments
375,Abu Zabad,SD,84.56,light rain,12.35,29.25,حامد محمد نور
376,Never,FR,80.8,clear sky,46.9896,3.159,Hôtel Kyriad Nevers Centre
377,Sur,OM,90.91,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
378,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
381,Uaua,BR,81.14,overcast clouds,-9.8414,-39.4817,Hotel Uauá
382,Mazyr,BY,73.06,scattered clouds,52.0495,29.2456,Euro Mini-Hotel
388,Kulhudhuffushi,MV,82.29,overcast clouds,6.6221,73.07,Haajy Guest House 1
390,Bairiki,KI,78.8,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
397,Mundi,IN,82.99,light rain,22.0667,76.5,TIWARI NIWAS
399,Riberalta,BO,88.0,broken clouds,-10.9833,-66.1,Hotel Colonial
400,Ottawa,CA,79.99,few clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
401,Hammerfest,NO,84.65,clear sky,70.6634,23.6821,Skytterhuset
402,Sfantu Gheorghe,RO,73.92,overcast clouds,45.8667,25.7833,Hotel Park
404,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
408,Havelock,US,84.16,broken clouds,34.8791,-76.9013,Sherwood Motel
409,Berlevag,NO,84.2,clear sky,70.8578,29.0864,Kvitbrakka
411,Lucapa,AO,75.61,clear sky,-8.4192,20.7447,Lírio Mendes
413,Saurimo,AO,71.02,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
414,Westford,US,81.45,few clouds,42.5793,-71.4378,Westford Regency Inn and Conference Center
417,La Libertad,EC,71.26,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
418,Vao,NC,72.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
419,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
421,Abancay,PE,73.08,few clouds,-13.6339,-72.8814,Siball Hotel
424,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
426,Kavaratti,IN,82.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
427,Sulina,RO,74.79,clear sky,45.1559,29.6536,Hotel Delta Est
428,Pangai,TO,77.05,light rain,-19.8,-174.35,Ha'apai Beach Resort
433,Nago,JP,79.65,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
436,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
438,Shimoda,JP,78.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
439,Havre-Saint-Pierre,CA,71.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
442,Tabou,CI,78.66,few clouds,4.423,-7.3528,hotêl doufoulougou
445,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
447,Sayyan,YE,71.67,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
448,Bossangoa,CF,70.68,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
