City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Pimenteiras,BR,2022-06-28 00:03:53,-6.2453,-41.4192,74.3,53,8,6.08
150,Kaitangata,NZ,2022-06-28 00:03:54,-46.2817,169.8464,43.93,81,9,1.66
151,Ambilobe,MG,2022-06-28 00:03:54,-13.2,49.05,61.68,75,14,5.7
152,Thompson,CA,2022-06-28 00:03:54,55.7435,-97.8558,53.76,76,75,9.22
153,Ponta Do Sol,PT,2022-06-28 00:03:55,32.6667,-17.1,67.01,64,35,7.67
154,Yalta,UA,2022-06-28 00:03:55,44.5,34.1667,67.64,86,58,7.56
155,Palencia,ES,2022-06-28 00:03:55,42.4167,-4.5,51.8,88,5,8.55
156,Chernyshevskiy,RU,2022-06-28 00:03:56,63.0128,112.4714,52.09,70,100,10.29
157,Imst,AT,2022-06-28 00:03:56,47.2684,10.6698,43.48,99,94,4.18
158,Mehamn,NO,2022-06-28 00:03:56,71.0357,27.8492,58.95,58,8,14.97
159,Dunmore Town,BS,2022-06-28 00:03:57,25.5,-76.65,79.34,77,100,13.56
160,Flinders,AU,2022-06-28 00:03:57,-34.5833,150.8552,56.37,65,86,7.0
161,San Cristobal,VE,2022-06-28 00:03:57,7.7669,-72.225,66.49,93,39,1.63
162,Iqaluit,CA,2022-06-28 00:03:58,63.7506,-68.5145,44.33,65,75,18.41
163,Kodiak,US,2022-06-28 00:03:58,57.79,-152.4072,63.91,63,0,11.5
164,Nelson Bay,AU,2022-06-28 00:03:58,-32.7167,152.15,53.01,94,73,7.56
165,Sioux Lookout,CA,2022-06-28 00:03:59,50.1001,-91.917,74.53,39,77,11.5
166,Amahai,ID,2022-06-28 00:03:59,-3.3333,128.9167,78.39,83,68,2.04
167,Gat,IL,2022-06-28 00:03:59,31.61,34.7642,73.4,73,0,2.42
168,Palana,RU,2022-06-28 00:04:00,59.1167,159.9667,48.43,84,56,7.81
169,Vila Velha,BR,2022-06-28 00:04:00,-20.3297,-40.2925,69.75,74,75,4.61
170,Port Macquarie,AU,2022-06-28 00:04:00,-31.4333,152.9167,59.9,74,98,12.44
171,Hilo,US,2022-06-28 00:04:01,19.7297,-155.09,82.27,64,20,9.22
172,Kenai,US,2022-06-28 00:04:01,60.5544,-151.2583,60.89,80,0,11.5
173,Ciechanow,PL,2022-06-27 23:59:33,52.8814,20.62,68.41,77,23,8.61
174,Porterville,US,2022-06-28 00:02:34,36.0652,-119.0168,107.53,13,0,6.33
175,Geraldton,AU,2022-06-28 00:04:04,-28.7667,114.6,57.61,88,75,6.91
176,Algiers,DZ,2022-06-28 00:02:58,36.7525,3.042,67.82,83,40,4.61
177,Constitucion,CL,2022-06-28 00:03:28,-35.3333,-72.4167,54.12,88,24,17.54
178,Yanliang,CN,2022-06-28 00:04:05,34.6592,109.2292,84.43,29,0,4.32
179,Erzin,TR,2022-06-28 00:04:06,36.9559,36.2,70.95,75,0,1.34
180,Sidi Ali,DZ,2022-06-28 00:04:07,36.0998,0.4206,68.14,55,0,3.85
181,Tuy Hoa,VN,2022-06-28 00:00:12,13.0833,109.3,81.28,81,87,7.38
182,Nizwa,OM,2022-06-28 00:04:07,22.9333,57.5333,83.25,68,87,1.41
183,Usvyaty,RU,2022-06-28 00:04:08,55.7456,30.7533,72.09,73,56,1.79
184,Yellowknife,CA,2022-06-27 23:59:45,62.456,-114.3525,64.92,42,20,13.8
185,Madimba,TZ,2022-06-28 00:04:08,-10.4,40.3333,68.99,86,2,10.74
186,Shimoda,JP,2022-06-28 00:04:09,34.6667,138.95,88.11,79,100,13.18
187,Celestun,MX,2022-06-28 00:04:10,20.8667,-90.4,82.6,73,57,11.88
188,Zhicheng,CN,2022-06-28 00:04:10,30.2956,111.5047,82.06,78,64,2.44
